hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY
2260006845,"31.227845,120.426705",200,http://su.xiaozhu.com/fangzi/2260006845.html,整租,0,吴中太湖旅游度假区伍相路相王府花园,1942927771,http://www.xiaozhu.com/fangdong/1942927771/,2,60,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
13263505,"31.318361,120.628395",200,http://su.xiaozhu.com/fangzi/13263505.html,整租,0,平江乔司空巷粤海广场,20242300,http://www.xiaozhu.com/fangdong/20242300/,2,45,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
4372703813,"31.300414,120.573094",200,http://su.xiaozhu.com/fangzi/4372703813.html,整租,0,虎丘狮山路汇豪国际酒店公寓,4290525013,http://www.xiaozhu.com/fangdong/4290525013/,2,50,1室1厅1卫1厨0阳台,1,1,1,1,0,2,5,房客独享整套房屋,1,su
2546725362,"30.805942,120.510622",200,http://su.xiaozhu.com/fangzi/2546725362.html,单间出租,0,吴江桃源镇桃花源大道101桃花源村十组,97489300,http://www.xiaozhu.com/fangdong/97489300/,1,35,2室1厅2卫1厨1阳台,2,1,2,1,1,3,4,可能与其他房客分住不同房间,2,su
3050522928,"31.30082,120.690415",200,http://su.xiaozhu.com/fangzi/3050522928.html,单间出租,0,吴中城邦花园19栋,2945862263,http://www.xiaozhu.com/fangdong/2945862263/,1,25,3室2厅2卫1厨1阳台,3,2,2,1,1,2,4,可能与其他房客分住不同房间,1,su
13263614,"31.318401,120.628227",200,http://su.xiaozhu.com/fangzi/13263614.html,整租,0,江苏省苏州市平江区观前,20242300,http://www.xiaozhu.com/fangdong/20242300/,2,45,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,su
3467409530,"31.872092,120.560792",200,http://su.xiaozhu.com/fangzi/3467409530.html,整租,0,张家港园林东村,3467320829,http://www.xiaozhu.com/fangdong/3467320829/,2,18,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,su
3519772330,"31.342857,120.74913",200,http://su.xiaozhu.com/fangzi/3519772330.html,整租,0,园区白塘路1号白塘景苑,3519708829,http://www.xiaozhu.com/fangdong/3519708829/,2,96,1室2厅1卫1厨2阳台,1,2,1,1,2,2,5,房客独享整套房屋,1,su
2176294160,"31.299043,120.577461",210,http://su.xiaozhu.com/fangzi/2176294160.html,整租,4,虎丘狮山路,2176185760,http://www.xiaozhu.com/fangdong/2176185760/,2,67,1室1厅1卫1厨0阳台,1,1,1,1,0,2,5,房客独享整套房屋,1,su
4374283114,"31.317006,120.629319",208,http://su.xiaozhu.com/fangzi/4374283114.html,整租,2,平江乔司空巷100号润亿皇朝,3731773129,http://www.xiaozhu.com/fangdong/3731773129/,2,50,1室0厅1卫1厨1阳台,1,0,1,1,1,3,5,房客独享整套房屋,1,su
2434998563,"31.323654,120.637116",208,http://su.xiaozhu.com/fangzi/2434998563.html,整租,3,平江平江路28号,634964900,http://www.xiaozhu.com/fangdong/634964900/,2,120,1室1厅1卫0厨1阳台,1,1,1,0,1,2,5,房客独享整套房屋,1,su
4311695414,"31.324772,120.63845",208,http://su.xiaozhu.com/fangzi/4311695414.html,单间出租,0,平江冬花桥,634964900,http://www.xiaozhu.com/fangdong/634964900/,1,20,2室2厅2卫0厨1阳台,2,2,2,0,1,2,4,可能与其他房客分住不同房间,1,su
100242601,"31.10817,120.311928",208,http://su.xiaozhu.com/fangzi/100242601.html,单间出租,1,吴中林屋洞,100240800,http://www.xiaozhu.com/fangdong/100240800/,1,20,5室2厅6卫1厨3阳台,5,2,6,1,3,2,4,可能与其他房客分住不同房间,1,su
3006996129,"31.322617,120.748896",218,http://su.xiaozhu.com/fangzi/3006996129.html,整租,4,园区津梁街288号自由水岸花园,1495260335,http://www.xiaozhu.com/fangdong/1495260335/,2,80,2室2厅1卫1厨1阳台,2,2,1,1,1,4,5,房客独享整套房屋,2,su
3937187730,"31.280805,120.535981",218,http://su.xiaozhu.com/fangzi/3937187730.html,整租,4,吴中金枫路与竹园路交界地区合景公寓,3937057529,http://www.xiaozhu.com/fangdong/3937057529/,2,41,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
3063922729,"31.297758,120.662219",218,http://su.xiaozhu.com/fangzi/3063922729.html,整租,5,园区东环388号恒润后街,1632882235,http://www.xiaozhu.com/fangdong/1632882235/,2,44,1室0厅1卫1厨1阳台,1,0,1,1,1,3,5,房客独享整套房屋,2,su
3571001829,"31.389005,121.057151",218,http://su.xiaozhu.com/fangzi/3571001829.html,整租,1,昆山前进东路287号世茂新界3号楼,1483400835,http://www.xiaozhu.com/fangdong/1483400835/,2,48,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
2774543463,"31.389066,121.056445",218,http://su.xiaozhu.com/fangzi/2774543463.html,整租,0,昆山前进东路,1483400835,http://www.xiaozhu.com/fangdong/1483400835/,2,45,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
2588168163,"31.315698,120.640674",218,http://su.xiaozhu.com/fangzi/2588168163.html,单间出租,5,平江平江路建新巷58号,1656475635,http://www.xiaozhu.com/fangdong/1656475635/,1,15,3室2厅2卫1厨1阳台,3,2,2,1,1,2,4,可能与其他房客分住不同房间,1,su
3860399829,"31.362394,120.631965",218,http://su.xiaozhu.com/fangzi/3860399829.html,整租,0,相城元和街道香城颐园,425366000,http://www.xiaozhu.com/fangdong/425366000/,2,88,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
4559832013,"31.322913,120.639636",218,http://su.xiaozhu.com/fangzi/4559832013.html,整租,0,平江平江路财神弄3号,634964900,http://www.xiaozhu.com/fangdong/634964900/,2,30,1室1厅1卫0厨0阳台,1,1,1,0,0,2,5,房客独享整套房屋,1,su
1721278735,"31.136362,120.314072",219,http://su.xiaozhu.com/fangzi/1721278735.html,单间出租,0,吴中东河村,1649153835,http://www.xiaozhu.com/fangdong/1649153835/,1,25,7室2厅6卫1厨1阳台,7,2,6,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
1721557635,"31.136068,120.317802",219,http://su.xiaozhu.com/fangzi/1721557635.html,单间出租,0,吴中东河村,1649153835,http://www.xiaozhu.com/fangdong/1649153835/,1,30,7室2厅6卫1厨1阳台,7,2,6,1,1,4,1,与房东分别住不同房间可能与其他房客分住不同房间,2,su
1721704135,"31.136517,120.317535",219,http://su.xiaozhu.com/fangzi/1721704135.html,单间出租,0,吴中东河村,1649153835,http://www.xiaozhu.com/fangdong/1649153835/,1,25,7室2厅6卫1厨1阳台,7,2,6,1,1,4,1,与房东分别住不同房间可能与其他房客分住不同房间,2,su
1721805235,"31.136208,120.317856",219,http://su.xiaozhu.com/fangzi/1721805235.html,单间出租,0,吴中东河村,1649153835,http://www.xiaozhu.com/fangdong/1649153835/,1,25,7室2厅6卫1厨1阳台,7,2,6,1,1,4,1,与房东分别住不同房间可能与其他房客分住不同房间,2,su
1721875435,"31.138912,120.320297",219,http://su.xiaozhu.com/fangzi/1721875435.html,单间出租,0,吴中东河村,1649153835,http://www.xiaozhu.com/fangdong/1649153835/,1,25,7室2厅6卫1厨1阳台,7,2,6,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
1722008235,"31.138218,120.318954",219,http://su.xiaozhu.com/fangzi/1722008235.html,单间出租,0,江苏省苏州市吴中区东河村,1649153835,http://www.xiaozhu.com/fangdong/1649153835/,1,25,7室2厅6卫1厨1阳台,7,2,6,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,2,su
4007227029,"31.388982,121.057079",218,http://su.xiaozhu.com/fangzi/4007227029.html,整租,0,昆山前进东路287号世茂新界3号楼,1483400835,http://www.xiaozhu.com/fangdong/1483400835/,2,45,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,su
3978498130,"31.269478,120.604477",216,http://su.xiaozhu.com/fangzi/3978498130.html,整租,1,吴中世茂广场,1933612271,http://www.xiaozhu.com/fangdong/1933612271/,2,120,1室1厅2卫1厨0阳台,1,1,2,1,0,2,5,房客独享整套房屋,1,su
503047301,"31.307262,120.66011",218,http://su.xiaozhu.com/fangzi/503047301.html,整租,1,园区娄葑镇,35066200,http://www.xiaozhu.com/fangdong/35066200/,2,45,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
2510977863,"31.322459,120.74746",220,http://su.xiaozhu.com/fangzi/2510977863.html,单间出租,1,园区津梁街,706196938,http://www.xiaozhu.com/fangdong/706196938/,1,35,4室2厅2卫1厨1阳台,4,2,2,1,1,2,4,可能与其他房客分住不同房间,1,su
4579283813,"31.316768,120.640427",220,http://su.xiaozhu.com/fangzi/4579283813.html,单间出租,0,平江钮家巷东大园,2696762263,http://www.xiaozhu.com/fangdong/2696762263/,1,40,1室1厅1卫0厨0阳台,1,1,1,0,0,2,4,可能与其他房客分住不同房间,1,su
1745020635,"31.262484,120.636688",220,http://su.xiaozhu.com/fangzi/1745020635.html,整租,2,吴中商城大街,1732252735,http://www.xiaozhu.com/fangdong/1732252735/,2,35,1室0厅1卫0厨1阳台,1,0,1,0,1,2,5,房客独享整套房屋,1,su
1732276735,"31.260706,120.64077",220,http://su.xiaozhu.com/fangzi/1732276735.html,整租,2,吴中吴中商城大街,1732252735,http://www.xiaozhu.com/fangdong/1732252735/,2,35,1室0厅1卫0厨1阳台,1,0,1,0,1,2,5,房客独享整套房屋,1,su
2918179163,"31.326546,120.673547",222,http://su.xiaozhu.com/fangzi/2918179163.html,单间出租,0,相城海亮香榭里,2917965363,http://www.xiaozhu.com/fangdong/2917965363/,1,18,3室2厅1卫1厨1阳台,3,2,1,1,1,2,4,可能与其他房客分住不同房间,1,su
3716897329,"31.312595,120.769998",226,http://su.xiaozhu.com/fangzi/3716897329.html,整租,0,园区锦溪苑26栋,2385412263,http://www.xiaozhu.com/fangdong/2385412263/,2,80,2室1厅1卫1厨1阳台,2,1,1,1,1,4,5,房客独享整套房屋,2,su
1788267935,"31.280392,120.537209",228,http://su.xiaozhu.com/fangzi/1788267935.html,整租,4,虎丘金枫路,1237541735,http://www.xiaozhu.com/fangdong/1237541735/,2,80,2室1厅2卫1厨1阳台,2,1,2,1,1,4,5,房客独享整套房屋,2,su
1633581335,"31.320522,120.640343",228,http://su.xiaozhu.com/fangzi/1633581335.html,单间出租,3,平江平江路,1003699759,http://www.xiaozhu.com/fangdong/1003699759/,1,8,3室1厅1卫1厨0阳台,3,1,1,1,0,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
3424773629,"31.372842,120.611224",228,http://su.xiaozhu.com/fangzi/3424773629.html,整租,5,相城合景峰会公寓10期,2431215463,http://www.xiaozhu.com/fangdong/2431215463/,2,55,1室1厅1卫1厨0阳台,1,1,1,1,0,2,5,房客独享整套房屋,1,su
3231198430,"31.29038,120.667196",228,http://su.xiaozhu.com/fangzi/3231198430.html,整租,5,园区群星苑五区,3144734129,http://www.xiaozhu.com/fangdong/3144734129/,2,78,2室1厅1卫1厨1阳台,2,1,1,1,1,4,5,房客独享整套房屋,3,su
2918525863,"31.347773,120.621899",228,http://su.xiaozhu.com/fangzi/2918525863.html,整租,5,平江人民路3188号万达广场,2247469945,http://www.xiaozhu.com/fangdong/2247469945/,2,60,2室0厅1卫1厨1阳台,2,0,1,1,1,4,5,房客独享整套房屋,2,su
2724436962,"31.367794,120.720897",228,http://su.xiaozhu.com/fangzi/2724436962.html,整租,5,园区唯华路3号,2724005063,http://www.xiaozhu.com/fangdong/2724005063/,2,45,1室0厅1卫1厨0阳台,1,0,1,1,0,2,5,房客独享整套房屋,1,su
2966025962,"31.348711,120.622208",228,http://su.xiaozhu.com/fangzi/2966025962.html,整租,2,平江万达广场7幢,2431215463,http://www.xiaozhu.com/fangdong/2431215463/,2,45,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,su
572878401,"31.317608,120.639834",228,http://su.xiaozhu.com/fangzi/572878401.html,单间出租,2,平江肖家巷,570437600,http://www.xiaozhu.com/fangdong/570437600/,1,18,3室1厅2卫1厨1阳台,3,1,2,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
527894401,"31.294214,121.154076",228,http://su.xiaozhu.com/fangzi/527894401.html,整租,0,昆山花桥镇,85036900,http://www.xiaozhu.com/fangdong/85036900/,2,68,1室1厅1卫1厨0阳台,1,1,1,1,0,4,5,房客独享整套房屋,2,su
3978814530,"31.327706,120.757538",228,http://su.xiaozhu.com/fangzi/3978814530.html,整租,0,园区中海国际社区三区1幢,3493055329,http://www.xiaozhu.com/fangdong/3493055329/,2,61,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
1748688134,"31.316723,120.579514",228,http://su.xiaozhu.com/fangzi/1748688134.html,单间出租,2,金阊枫桥路,1726454235,http://www.xiaozhu.com/fangdong/1726454235/,1,30,4室2厅3卫1厨2阳台,4,2,3,1,2,2,4,可能与其他房客分住不同房间,1,su
2903117463,"31.320346,120.641577",229,http://su.xiaozhu.com/fangzi/2903117463.html,单间出租,4,平江平江路混堂巷,2903079963,http://www.xiaozhu.com/fangdong/2903079963/,1,30,2室1厅1卫0厨1阳台,2,1,1,0,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
3434921130,"31.30153,120.686626",229,http://su.xiaozhu.com/fangzi/3434921130.html,单间出租,4,园区和乔丽晶小区（星州街9号，金鸡湖大道与星州街交叉口）,3093442929,http://www.xiaozhu.com/fangdong/3093442929/,1,40,3室2厅2卫1厨1阳台,3,2,2,1,1,2,4,可能与其他房客分住不同房间,1,su
4579510813,"31.316768,120.640427",230,http://su.xiaozhu.com/fangzi/4579510813.html,单间出租,0,平江钮家巷东大园,2696762263,http://www.xiaozhu.com/fangdong/2696762263/,1,40,1室1厅1卫0厨0阳台,1,1,1,0,0,2,4,可能与其他房客分住不同房间,1,su
1371872435,"31.321564,120.631157",238,http://su.xiaozhu.com/fangzi/1371872435.html,整租,4,平江平江路,787968838,http://www.xiaozhu.com/fangdong/787968838/,2,50,1室1厅1卫1厨2阳台,1,1,1,1,2,2,5,房客独享整套房屋,1,su
3934036830,"31.327804,120.756978",239,http://su.xiaozhu.com/fangzi/3934036830.html,整租,2,园区中海国际四区,3933945629,http://www.xiaozhu.com/fangdong/3933945629/,2,100,2室1厅1卫1厨1阳台,2,1,1,1,1,4,5,房客独享整套房屋,2,su
1402836235,"31.32242,120.640648",238,http://su.xiaozhu.com/fangzi/1402836235.html,单间出租,5,平江丁香巷,1372468935,http://www.xiaozhu.com/fangdong/1372468935/,1,15,3室1厅1卫1厨0阳台,3,1,1,1,0,2,1,与房东分别住不同房间可能与其他房客分住不同房间,2,su
4466026614,"31.320801,120.643912",238,http://su.xiaozhu.com/fangzi/4466026614.html,整租,2,平江平江路仓街混堂巷26号,2791507163,http://www.xiaozhu.com/fangdong/2791507163/,2,60,1室1厅1卫1厨0阳台,1,1,1,1,0,2,5,房客独享整套房屋,2,su
2509833162,"31.283068,120.631976",238,http://su.xiaozhu.com/fangzi/2509833162.html,整租,5,吴中东吴北路181号双银星座,2404794863,http://www.xiaozhu.com/fangdong/2404794863/,2,50,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
3849067930,"31.318495,120.676009",238,http://su.xiaozhu.com/fangzi/3849067930.html,整租,0,园区苏州工业园区师惠花园,3849021729,http://www.xiaozhu.com/fangdong/3849021729/,2,50,1室1厅1卫1厨1阳台,1,1,1,1,1,2,5,房客独享整套房屋,1,su
3802693529,"31.368291,120.608425",238,http://su.xiaozhu.com/fangzi/3802693529.html,整租,0,相城阳澄湖西路1299号,3772970629,http://www.xiaozhu.com/fangdong/3772970629/,2,78,2室1厅1卫1厨0阳台,2,1,1,1,0,4,5,房客独享整套房屋,2,su
4238397414,"31.314633,120.642502",238,http://su.xiaozhu.com/fangzi/4238397414.html,整租,0,沧浪干将西路唐家巷24号,4238195413,http://www.xiaozhu.com/fangdong/4238195413/,2,75,2室2厅1卫1厨1阳台,2,2,1,1,1,2,5,房客独享整套房屋,2,su
1279363335,"31.321224,120.63488",238,http://su.xiaozhu.com/fangzi/1279363335.html,单间出租,1,平江荷花弄,1279247935,http://www.xiaozhu.com/fangdong/1279247935/,1,38,4室2厅3卫1厨2阳台,4,2,3,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
1748939334,"31.316723,120.579514",238,http://su.xiaozhu.com/fangzi/1748939334.html,单间出租,0,金阊枫桥路,1726454235,http://www.xiaozhu.com/fangdong/1726454235/,1,20,4室2厅3卫1厨2阳台,4,2,3,1,2,4,4,可能与其他房客分住不同房间,2,su
2962380662,"31.310197,120.586854",238,http://su.xiaozhu.com/fangzi/2962380662.html,单间出租,0,金阊三元二村,1726454235,http://www.xiaozhu.com/fangdong/1726454235/,1,20,6室3厅3卫1厨1阳台,6,3,3,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
917150960,"31.299759,121.128456",238,http://su.xiaozhu.com/fangzi/917150960.html,整租,0,昆山花桥镇,917079259,http://www.xiaozhu.com/fangdong/917079259/,2,50,1室2厅1卫1厨0阳台,1,2,1,1,0,2,5,房客独享整套房屋,1,su
3870129930,"31.670583,120.79912",239,http://su.xiaozhu.com/fangzi/3870129930.html,整租,0,常熟百盛花园,3852206529,http://www.xiaozhu.com/fangdong/3852206529/,2,130,2室1厅1卫1厨1阳台,2,1,1,1,1,4,5,房客独享整套房屋,2,su
2671403863,"31.32384,120.748376",240,http://su.xiaozhu.com/fangzi/2671403863.html,整租,5,园区津梁街288号,1165115575,http://www.xiaozhu.com/fangdong/1165115575/,2,76,2室1厅1卫1厨1阳台,2,1,1,1,1,4,5,房客独享整套房屋,2,su
691498039,"31.313417,120.683746",246,http://su.xiaozhu.com/fangzi/691498039.html,单间出租,5,园区馨都广场,691496338,http://www.xiaozhu.com/fangdong/691496338/,1,15,3室2厅3卫1厨2阳台,3,2,3,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
2357117062,"31.248322,120.621296",248,http://su.xiaozhu.com/fangzi/2357117062.html,整租,1,吴中苏蠡路41号港龙国际茶城,1912049371,http://www.xiaozhu.com/fangdong/1912049371/,2,70,2室1厅1卫1厨0阳台,2,1,1,1,0,3,5,房客独享整套房屋,4,su
4599648413,"31.266004,120.547527",248,http://su.xiaozhu.com/fangzi/4599648413.html,整租,0,吴中中山东路88号大运城,1912049371,http://www.xiaozhu.com/fangdong/1912049371/,2,70,2室0厅1卫1厨0阳台,2,0,1,1,0,4,5,房客独享整套房屋,3,su
3362144330,"31.325805,120.639232",248,http://su.xiaozhu.com/fangzi/3362144330.html,整租,0,平江平江路,634964900,http://www.xiaozhu.com/fangdong/634964900/,2,80,2室1厅1卫0厨1阳台,2,1,1,0,1,4,5,房客独享整套房屋,2,su
1752764335,"31.293472,120.558487",248,http://su.xiaozhu.com/fangzi/1752764335.html,床位出租,0,虎丘狮山玉山路御花园南门,1550977235,http://www.xiaozhu.com/fangdong/1550977235/,1,15,2室1厅1卫1厨2阳台,2,1,1,1,2,2,2,与房东合住可能与房东或其他房客分享一个房间,1,su
