hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY
1552834635,"30.631416,104.089432",56,http://cd.xiaozhu.com/fangzi/1552834635.html,单间出租,2,武侯望江路郭家桥北街3号(川大南门100米),613338300,http://www.xiaozhu.com/fangdong/613338300/,1,16,3室1厅1卫0厨0阳台,3,1,1,0,0,2,4,可能与其他房客分住不同房间,1,cd
3310217629,"30.608358,103.939702",59,http://cd.xiaozhu.com/fangzi/3310217629.html,单间出租,0,双流星空路898号,784526338,http://www.xiaozhu.com/fangdong/784526338/,1,12,3室2厅2卫1厨1阳台,3,2,2,1,1,2,4,可能与其他房客分住不同房间,1,cd
3064027028,"30.807938,104.15567",60,http://cd.xiaozhu.com/fangzi/3064027028.html,单间出租,0,新都天缘路三段443号国光揽悦(新都一中实验校旁),1300947135,http://www.xiaozhu.com/fangdong/1300947135/,1,15,2室1厅1卫1厨1阳台,2,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cd
2329643063,"30.634035,104.087576",56,http://cd.xiaozhu.com/fangzi/2329643063.html,单间出租,3,武侯磨子桥郭家桥北街川大南门(川大南门100米南园小区),613338300,http://www.xiaozhu.com/fangdong/613338300/,1,18,4室0厅1卫1厨1阳台,4,0,1,1,1,2,4,可能与其他房客分住不同房间,1,cd
2919394462,"30.811885,104.18968",50,http://cd.xiaozhu.com/fangzi/2919394462.html,单间出租,0,新都育英路,2897080763,http://www.xiaozhu.com/fangdong/2897080763/,1,10,6室0厅2卫0厨2阳台,6,0,2,0,2,2,4,可能与其他房客分住不同房间,1,cd
2919482662,"30.811885,104.18968",50,http://cd.xiaozhu.com/fangzi/2919482662.html,单间出租,0,新都育英路,2897080763,http://www.xiaozhu.com/fangdong/2897080763/,1,10,6室0厅2卫0厨2阳台,6,0,2,0,2,2,4,可能与其他房客分住不同房间,1,cd
2919704662,"30.811885,104.18968",60,http://cd.xiaozhu.com/fangzi/2919704662.html,单间出租,0,新都育英路,2897080763,http://www.xiaozhu.com/fangdong/2897080763/,1,15,6室0厅2卫0厨2阳台,6,0,2,0,2,2,4,可能与其他房客分住不同房间,1,cd
4151920730,"30.689174,104.040145",65,http://cd.xiaozhu.com/fangzi/4151920730.html,单间出租,4,金牛营策巷29号六栋,1868492735,http://www.xiaozhu.com/fangdong/1868492735/,1,18,2室1厅1卫1厨0阳台,2,1,1,1,0,2,4,可能与其他房客分住不同房间,1,cd
1909615570,"30.627007,104.071487",65,http://cd.xiaozhu.com/fangzi/1909615570.html,单间出租,5,武侯二环路南三段1号,1258328635,http://www.xiaozhu.com/fangdong/1258328635/,1,6,4室1厅3卫1厨1阳台,4,1,3,1,1,1,4,可能与其他房客分住不同房间,1,cd
667199901,"30.577753,104.205139",65,http://cd.xiaozhu.com/fangzi/667199901.html,单间出租,0,龙泉驿大面街道,652666700,http://www.xiaozhu.com/fangdong/652666700/,1,18,5室1厅3卫1厨3阳台,5,1,3,1,3,2,4,可能与其他房客分住不同房间,1,cd
2595881162,"30.786918,103.937172",66,http://cd.xiaozhu.com/fangzi/2595881162.html,单间出租,1,郫县红光镇尚锦路上锦颐园二期,1133515155,http://www.xiaozhu.com/fangdong/1133515155/,1,16,3室2厅1卫1厨2阳台,3,2,1,1,2,2,4,可能与其他房客分住不同房间,1,cd
902670760,"30.51856,104.048393",66,http://cd.xiaozhu.com/fangzi/902670760.html,单间出租,0,双流锦江路,828187938,http://www.xiaozhu.com/fangdong/828187938/,1,10,3室1厅2卫1厨2阳台,3,1,2,1,2,2,4,可能与其他房客分住不同房间,1,cd
2993362063,"30.856799,104.453528",65,http://cd.xiaozhu.com/fangzi/2993362063.html,单间出租,0,金堂北宾路棕榈湖三期三栋,2993233963,http://www.xiaozhu.com/fangdong/2993233963/,1,15,2室1厅1卫1厨1阳台,2,1,1,1,1,2,4,可能与其他房客分住不同房间,1,cd
2897125063,"30.811885,104.18968",66,http://cd.xiaozhu.com/fangzi/2897125063.html,单间出租,0,新都育英路,2897080763,http://www.xiaozhu.com/fangdong/2897080763/,1,23,6室0厅2卫0厨2阳台,6,0,2,0,2,2,4,可能与其他房客分住不同房间,1,cd
