hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY,postTime
3310164729,"39.983271,116.320199",238,http://bj.xiaozhu.com/fangzi/3310164729.html,单间出租,5,海淀海淀黄庄地铁口海淀医院西侧,2316333127,http://www.xiaozhu.com/fangdong/2316333127/,1,25,3室1厅1卫1厨2阳台,3,1,1,1,2,4,1,与房东分别住不同房间可能与其他房客分住不同房间,3,bj,
2066516482,"39.892181,116.472832",238,http://bj.xiaozhu.com/fangzi/2066516482.html,单间出租,0,朝阳东三环南路54号8号楼,1925768171,http://www.xiaozhu.com/fangdong/1925768171/,1,25,3室2厅2卫1厨2阳台,3,2,2,1,2,2,4,可能与其他房客分住不同房间,1,bj,2016-01-10
1371821635,"40.081478,116.417976",238,http://bj.xiaozhu.com/fangzi/1371821635.html,单间出租,0,昌平西三区,1362366035,http://www.xiaozhu.com/fangdong/1362366035/,1,22,3室2厅2卫1厨2阳台,3,2,2,1,2,2,4,可能与其他房客分住不同房间,1,bj,
2487312662,"39.979807,116.395229",238,http://bj.xiaozhu.com/fangzi/2487312662.html,单间出租,1,朝阳裕民路,2408304163,http://www.xiaozhu.com/fangdong/2408304163/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
914967060,"40.028321,116.276416",238,http://bj.xiaozhu.com/fangzi/914967060.html,单间出租,4,海淀天秀路裕隆新村小区,914764259,http://www.xiaozhu.com/fangdong/914764259/,1,15,3室1厅1卫1厨2阳台,3,1,1,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
4594898613,"39.952319,116.328363",238,http://bj.xiaozhu.com/fangzi/4594898613.html,单间出租,2,海淀中关村南大街31号院1号楼,4594037313,http://www.xiaozhu.com/fangdong/4594037313/,1,18,2室1厅1卫1厨2阳台,2,1,1,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
4676069314,"39.842766,116.377713",238,http://bj.xiaozhu.com/fangzi/4676069314.html,整租,0,丰台马家堡西路36号院,4499015313,http://www.xiaozhu.com/fangdong/4499015313/,2,54,1室1厅1卫1厨0阳台,1,1,1,1,0,3,5,房客独享整套房屋,1,bj,
1319038834,"40.007332,116.381927",238,http://bj.xiaozhu.com/fangzi/1319038834.html,单间出租,5,朝阳中和家园,1260465035,http://www.xiaozhu.com/fangdong/1260465035/,1,13,4室2厅2卫1厨2阳台,4,2,2,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,2015-08-26
3735660229,"39.976486,116.333291",238,http://bj.xiaozhu.com/fangzi/3735660229.html,单间出租,4,海淀双榆树东里,2884575463,http://www.xiaozhu.com/fangdong/2884575463/,1,35,3室1厅1卫1厨1阳台,3,1,1,1,1,5,4,可能与其他房客分住不同房间,2,bj,
2417987363,"39.871164,116.303042",238,http://bj.xiaozhu.com/fangzi/2417987363.html,整租,5,丰台东大街东里,1247351235,http://www.xiaozhu.com/fangdong/1247351235/,2,48,1室1厅1卫1厨1阳台,1,1,1,1,1,4,5,房客独享整套房屋,2,bj,
4737603213,"39.894999,116.47847",238,http://bj.xiaozhu.com/fangzi/4737603213.html,单间出租,0,朝阳广渠路36号首城国际,1925768171,http://www.xiaozhu.com/fangdong/1925768171/,1,20,3室1厅1卫1厨1阳台,3,1,1,1,1,2,4,可能与其他房客分住不同房间,1,bj,
4371034113,"39.93553,116.355959",238,http://bj.xiaozhu.com/fangzi/4371034113.html,单间出租,2,西城车公庄大街,3331634729,http://www.xiaozhu.com/fangdong/3331634729/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
65048801,"39.902164,116.421486",238,http://bj.xiaozhu.com/fangzi/65048801.html,整租,4,东城崇文门地铁,10980400,http://www.xiaozhu.com/fangdong/10980400/,2,35,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,bj,
