hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY
1167905275,"30.33544,120.16774",699,http://hz.xiaozhu.com/fangzi/1167905275.html,单间出租,0,拱墅上塘街道,1151796405,http://www.xiaozhu.com/fangdong/1151796405/,2,140,3室2厅1卫1厨2阳台,3,2,1,1,2,4,4,可能与其他房客分住不同房间,2,hz
1660867835,"30.230532,120.202927",708,http://hz.xiaozhu.com/fangzi/1660867835.html,整租,1,上城鲲鹏路230号,1345203235,http://www.xiaozhu.com/fangdong/1345203235/,2,50,1室0厅1卫1厨1阳台,1,0,1,1,1,2,5,房客独享整套房屋,1,hz
2148674359,"30.188693,120.095766",720,http://hz.xiaozhu.com/fangzi/2148674359.html,整租,0,西湖梅灵南路,2141508060,http://www.xiaozhu.com/fangdong/2141508060/,2,30,1室1厅1卫1厨0阳台,1,1,1,1,0,2,5,房客独享整套房屋,1,hz
2148777259,"30.188693,120.095766",720,http://hz.xiaozhu.com/fangzi/2148777259.html,整租,0,西湖梅灵南路,2141508060,http://www.xiaozhu.com/fangdong/2141508060/,2,30,1室1厅1卫0厨0阳台,1,1,1,0,0,2,5,房客独享整套房屋,1,hz
2072877381,"30.245358,120.178005",750,http://hz.xiaozhu.com/fangzi/2072877381.html,整租,0,上城河坊街打铜巷31号,1924222071,http://www.xiaozhu.com/fangdong/1924222071/,2,150,1室1厅1卫0厨0阳台,1,1,1,0,0,4,5,房客独享整套房屋,2,hz
3826086430,"30.296818,120.072554",760,http://hz.xiaozhu.com/fangzi/3826086430.html,整租,0,西湖文一西路崇义路交界,3825815929,http://www.xiaozhu.com/fangdong/3825815929/,2,175,3室2厅2卫1厨2阳台,3,2,2,1,2,6,5,房客独享整套房屋,3,hz
1872925335,"30.242558,120.17543",768,http://hz.xiaozhu.com/fangzi/1872925335.html,整租,0,上城十五奎巷58号,1867937335,http://www.xiaozhu.com/fangdong/1867937335/,2,45,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,hz
1790943335,"30.379995,119.869385",780,http://hz.xiaozhu.com/fangzi/1790943335.html,整租,0,余杭径山镇径山村桐桥,1786082835,http://www.xiaozhu.com/fangdong/1786082835/,2,25,1室0厅1卫0厨1阳台,1,0,1,0,1,2,5,房客独享整套房屋,1,hz
1791109335,"30.379467,119.870911",780,http://hz.xiaozhu.com/fangzi/1791109335.html,整租,0,余杭径山镇径山村桐桥,1786082835,http://www.xiaozhu.com/fangdong/1786082835/,2,25,1室0厅1卫0厨1阳台,1,0,1,0,1,2,5,房客独享整套房屋,1,hz
1819225635,"30.265526,120.209267",785,http://hz.xiaozhu.com/fangzi/1819225635.html,整租,0,江干百大绿城西子国际中心,1725848435,http://www.xiaozhu.com/fangdong/1725848435/,2,65,1室1厅1卫1厨0阳台,1,1,1,1,0,2,5,房客独享整套房屋,1,hz
1732229735,"30.226854,120.160027",780,http://hz.xiaozhu.com/fangzi/1732229735.html,整租,0,西湖玉皇山,1684717135,http://www.xiaozhu.com/fangdong/1684717135/,2,30,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,2,hz
4227706114,"30.353771,120.127494",780,http://hz.xiaozhu.com/fangzi/4227706114.html,整租,0,余杭好运路,4227633313,http://www.xiaozhu.com/fangdong/4227633313/,2,200,4室2厅2卫1厨3阳台,4,2,2,1,3,4,5,房客独享整套房屋,4,hz
1892755671,"29.776516,119.714912",780,http://hz.xiaozhu.com/fangzi/1892755671.html,整租,0,桐庐大奇山路1088号,1875093035,http://www.xiaozhu.com/fangdong/1875093035/,2,25,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,hz
1909833270,"29.776516,119.714912",780,http://hz.xiaozhu.com/fangzi/1909833270.html,整租,0,桐庐大奇山路1088号,1875093035,http://www.xiaozhu.com/fangdong/1875093035/,2,25,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,hz
4304893213,"30.054182,119.585412",780,http://hz.xiaozhu.com/fangzi/4304893213.html,整租,0,富阳洞桥镇大坞村,4304028913,http://www.xiaozhu.com/fangdong/4304028913/,2,35,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,hz
3969929729,"30.410365,119.839603",780,http://hz.xiaozhu.com/fangzi/3969929729.html,单间出租,0,余杭径山镇双溪村,3884063429,http://www.xiaozhu.com/fangdong/3884063429/,1,32,3室2厅4卫1厨5阳台,3,2,4,1,5,2,4,可能与其他房客分住不同房间,1,hz
4622532413,"30.235725,120.11799",780,http://hz.xiaozhu.com/fangzi/4622532413.html,整租,0,西湖灵隐支路白乐桥,4606255313,http://www.xiaozhu.com/fangdong/4606255313/,2,25,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,hz
1607004235,"30.293006,120.182435",788,http://hz.xiaozhu.com/fangzi/1607004235.html,整租,4,下城五里塘苑,1121965778,http://www.xiaozhu.com/fangdong/1121965778/,2,140,3室2厅2卫1厨1阳台,3,2,2,1,1,6,5,房客独享整套房屋,3,hz
