"sight_name","sight_id","level","location","price","score","num_comment","city_id","address"
"浮田森森陶艺工作室","2194352359","0","103.628857,31.005021","0","0","0","chengdu","四川省成都市都江堰建设路白果巷53号"
"重庆城市精英真人CS俱乐部华新街店","2194378620","0","106.543741,29.572438","0","0","0","chongqing","重庆市渝中区华新街城市精英真人CS俱乐部"
"军乐户外运动真人CS","2194390569","0","119.985442,30.140609","0","0","0","hangzhou","浙江省杭州市富阳市受降镇铭鹤花园8幢2单元305"
"椰林水巷","2194717643","0","116.424415,39.975356","0","0","0","beijing","北京市朝阳区北三环和平西桥向南天丰利商厦三层精品一厅"
"丰体冰雪嘉年华","2194860180","0","0.0,0.0","0","0","0","beijing","北京市丰台区西四环南路55号丰台体育中心内"
"友军生态园","219518220","0","106.469984,30.208688","0","5","20","chongqing","重庆市合川区龙市镇飞龙村"
"旭和影城","2196538808","0","103.850033,30.703999","0","0","0","chengdu","四川成都温江区文化路1号繁华时代广场三楼"
"三道堰古镇","2197899480","0","103.922293,30.868603","0","4.4","110","chengdu","四川省成都市郫县"
"龙门森林公园","2197980229","0","116.101694,39.940397","0","0","0","beijing","北京市门头沟区清水镇"
"迅鹰野战俱乐部","2198112369","0","121.025298,31.104658","0","4","1","shanghai","上海市青浦区沪青平公路6977号（东方绿舟对面）"
"萨克赛思KTV","2198988633","0","116.462978,39.886523","0","0","0","beijing","北京朝阳劲松中街华威北里16号"
"奥林匹克公园","2199307902","5A景区","116.39611,39.994915","138","4.7","2198","beijing","北京市朝阳区天辰东路11号"
"上海国际汽车城","2199977813","0","121.18115219945,31.292189552788","0","0","0","shanghai","上海市嘉定区安亭博园路7575号"
"紫海鹭缘浪漫庄园","2201637018","3A景区","121.501848,31.678099","45","4.2","45","shanghai","上海市崇明县北沿公路2018号"
"温都水城奇幻盛宴科普科幻嘉年华","2202231549","0","116.37799,40.113104","0","5","1","beijing","北京市昌平区温都水城广场（水空间对面）"
"蟹岛瓦萨城水乐园","2202309934","0","116.554846,40.025669","0","4.6","116","beijing","北京市朝阳区蟹岛路1号蟹岛温泉度假村内"
